stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right
BD             453.882       2.5          Testing        154                        n/a            0            stim/3.jpeg   stim/1.jpeg   B             D
AE             459.676       2.5          Testing        155                        n/a            0            stim/2.jpeg   stim/5.jpeg   E             A
BD             464.272       2.5          Testing        156                        n/a            0            stim/3.jpeg   stim/1.jpeg   B             D
AC             468.468       2.5          Testing        157                        n/a            0            stim/6.jpeg   stim/5.jpeg   C             A
CE             472.064       2.5          Testing        158                        n/a            0            stim/2.jpeg   stim/6.jpeg   E             C
AD             477.059       2.5          Testing        159                        n/a            0            stim/5.jpeg   stim/1.jpeg   A             D
CF             482.654       2.5          Testing        160                        n/a            0            stim/4.jpeg   stim/6.jpeg   F             C
CE             486.833       2.5          Testing        161                        n/a            0            stim/2.jpeg   stim/6.jpeg   E             C
AD             492.627       2.5          Testing        162                        n/a            0            stim/1.jpeg   stim/5.jpeg   D             A
AC             497.206       2.5          Testing        163                        n/a            0            stim/5.jpeg   stim/6.jpeg   A             C
BE             500.786       2.5          Testing        164                        n/a            0            stim/3.jpeg   stim/2.jpeg   B             E
